Name,Suburb,Postcode
Cunnamulla P-12 State School,Cunnamulla,4490
Mornington Island State School,Wellesley Islands,4892
Windera State School,Windera,4605
Crow's Nest State School,Crows Nest,4355
Minden State School,Minden,4311
Ascot State School,Ascot,4007
Gowrie State School,Gowrie Junction,4352
Gin Gin State School,Gin Gin,4671
Blackall State School,Blackall,4472
Mount Larcom State School,Mount Larcom,4695
Edens Landing State School,Edens Landing,4207
Townsville South State School,South Townsville,4810
Muttaburra State School,Muttaburra,4732
Heatley State School,Heatley,4814
William Ross SHS - Special Education Program,Annandale,4814
Good Shepherd Catholic School (Rasmussen),Rasmussen,4815
Mooloolah State School,Mooloolah Valley,4553
Eton State School,Eton,4741
Brookstead State School,Brookstead,4364
Aramac State School,Aramac,4726
Glenella State School,Glenella,4740
Blenheim State School,Blenheim,4341
Back Plains State School,Back Plains,4361
Dalveen State School,Dalveen,4374
Burnett Heads State School,Burnett Heads,4670
Marburg State School,Marburg,4346
Roma State College - Special Education Program,Roma,4455
Sandgate SHS - Special Education Program,Deagon,4017
Macknade State School,Macknade,4850
Bundamba SS - Special Education Program,Bundamba,4304
Everton Park SHS - Special Education Program,Everton Park,4053
Coolnwynpin SS - Special Education Program,Capalaba,4157
Lawnton State School,Lawnton,4501
Doomadgee State School,Doomadgee,4830
Oakleigh State School,Ashgrove,4060
Boonah State School,Boonah,4310
Greenvale State School,Greenvale,4816
Hambledon SS - Special Education Program,Edmonton,4869
Ormeau State School,Pimpama,4209
Glenview State School,Glenview,4553
Bray Park State School,Bray Park,4500
Miles State School,Miles,4415
Duaringa State School,Duaringa,4712
Kalbar State School,Kalbar,4309
Bluff State School,Bluff,4702
Howard State School,Howard,4659
Caboolture SHS - Special Education Program,Caboolture,4510
Landsborough State School,Landsborough,4550
Woongarra State School,Woongarra,4670
Camira State School,Camira,4300
Walkerston State School,Walkerston,4751
Emerald State School,Emerald,4720
Currajong State School,Gulliver,4812
Mabel Park State School,Slacks Creek,4127
Augathella State School,Augathella,4477
Springwood Road State School,Rochedale South,4123
Harris Fields State School,Woodridge,4114
Normanton State School,Normanton,4890
Two Mile State School,Two Mile,4570
Nambour State College - Junior School,Nambour,4560
Ipswich West State School,West Ipswich,4305
Emmanuel Catholic Primary School,Mount Pleasant,4740
Southport State School,Southport,4215
Caboolture State School,Caboolture,4510
Woodford State School,Woodford,4514
Kedron State School,Kedron,4031
Yuleba State School,Yuleba,4427
Pittsworth State School,Pittsworth,4356
Holy Spirit College (Mount Pleasant),Mount Pleasant,4740
Mount Samson State School,Mount Samson,4520
McDowall State School,Mcdowall,4053
Bwgcolman Community School,Palm Island,4816
Mount Alford State School,Mount Alford,4310
Ma Ma Creek State School,Ma Ma Creek,4347
Bundaberg Christian College,Bundaberg,4670
Warra State School,Warra,4411
Bauhinia State School,Bauhinia,4718
Hughenden State School,Hughenden,4821
Hatton Vale State School,Hatton Vale,4341
Denison State School,Emerald,4720
Benaraby State School,Benaraby,4680
Wilsonton State School,Wilsonton,4350
Weir State School,Thuringowa Central,4817
Blackwater State School,Blackwater,4717
Crawford State School,Crawford,4610
Sharon State School,Sharon,4670
Jindalee State School,Jindalee,4074
Valkyrie State School,Valkyrie,4742
Alexandra Hills State School,Alexandra Hills,4161
Gooburrum State School,Gooburrum,4670
Thargomindah State School,Thargomindah,4492
Capella State School,Capella,4723
Cloncurry State School P-12,Cloncurry,4824
Middle Ridge State School,Middle Ridge,4350
Kioma State School,Kioma,4498
Wondall Heights State School,Manly West,4179
Monkland State School,Monkland,4570
Lundavra State School,Lundavra,4390
Pialba State School,Pialba,4655
Tresswell State School,Nandowrie,4722
Pilton State School,Pilton,4361
Bollon State School,Bollon,4488
Alloway State School,Alloway,4670
Camp Hill SS - Special Education Program,Camp Hill,4152
Mundingburra State School,Mundingburra,4812
Texas P-10 State School,Texas,4385
Coningsby State School,Farleigh,4741
Annandale State School,Annandale,4814
Yeppoon State School,Yeppoon,4703
Labrador State School,Labrador,4215
Narangba Valley State High School,Narangba,4504
Norville State School,Norville,4670
Karumba State School,Karumba,4891
Ingham State School,Ingham,4850
Ayr State School,Ayr,4807
Bentley Park College,Bentley Park,4869
Rocklea State School,Rocklea,4106
Ithaca Creek State School,Bardon,4065
Woodcrest State College,Springfield,4300
Pormpuraaw State School,Pormpuraaw,4892
Wallangarra State School,Wallangarra,4383
Kowanyama State School,Kowanyama,4892
Windorah State School,Windorah,4481
Talara Primary College,Currimundi,4551
Tagai State College - Thursday Island Primary Campus,Thursday Island,4875
Mount Sylvia State School,Mount Sylvia,4343
Mary Valley State College,Imbil,4570
Brandon State School,Brandon,4808
Pentland State School,Pentland,4816
Wilsonton State High School,Wilsonton Heights,4350
North Arm State School,North Arm,4561
Homebush State School,Homebush,4740
Flagstone State School,Jimboomba,4280
Runcorn Heights State School,Runcorn,4113
Emu Park State School,Emu Park,4710
Anakie State School,The Gemfields,4702
Scottville State School,Scottville,4804
Woombye State School,Woombye,4559
Winton State School,Winton,4735
Nashville State School,Brighton,4017
Siena Catholic College,Sippy Downs,4556
Benowa State School,Benowa,4217
Gympie East State School,Greens Creek,4570
Cameron Downs State School,Tangorin,4821
Maryborough West State School,Maryborough,4650
Morayfield SHS - Special Education Program,Morayfield,4506
Stafford State School,Stafford,4053
Prairie State School,Prairie,4816
Flagstone Creek State School,Flagstone Creek,4344
Yandina State School,Yandina,4561
Deception Bay SHS - Special Education Program,Deception Bay,4508
Maleny SHS - Special Education Program,Maleny,4552
Teelba State School,Teelba,4423
Mount Whitestone State School,Mount Whitestone,4347
Bundaberg East State School,Bundaberg East,4670
Townsville West State School,West End,4810
Toowoomba East State School,East Toowoomba,4350
Mackay West State School,West Mackay,4740
Tullawong SS - Special Education Program,Caboolture,4510
Lockhart State School,Lockhart River,4892
Dutton Park State School,Dutton Park,4102
Mungallala State School,Mungallala,4467
Belgian Gardens State School,Belgian Gardens,4810
Moonie State School,Moonie,4406
Ashwell State School,Ashwell,4340
Pine Rivers SHS - Special Education Program,Strathpine,4500
Junction Park State School,Annerley,4103
Park Ridge State School,Park Ridge,4125
Mitchelton Early Childhood Development Program,Mitchelton,4053
Alpha State School,Alpha,4724
Marian State School,Marian,4753
Irvinebank State School,Irvinebank,4887
Darlington State School,Darlington,4285
Banana State School,Banana,4702
Torbanlea State School,Torbanlea,4662
Forsayth State School,Forsayth,4871
Wyreema State School,Wyreema,4352
Morven State School,Morven,4468
Mount Morgan Central State School,Mount Morgan,4714
Innisfail State School,Innisfail,4860
Cleveland District SHS - Special Education Program,Cleveland,4163
Hampden State School,Hampden,4741
Burketown State School,Burketown,4830
Barcaldine Prep-12 State School,Barcaldine,4725
Mount Gravatt SHS - Special Education Program,Mount Gravatt,4122
Aspley SHS - Special Education Program,Aspley,4034
Toowoomba SHS - Special Education Program,Mount Lofty,4350
Walkervale State School,Walkervale,4670
Jandowae Prep-10 State School,Jandowae,4410
Hambledon State School,Edmonton,4869
Bribie Island State School,Bongaree,4507
Hillview State School,Hillview,4285
Bundaberg SHS - Special Education Program,Bundaberg South,4670
Pioneer SHS - Special Education Program,Andergrove,4740
Glen Aplin State School,Glen Aplin,4381
Eimeo Road State School,Rural View,4740
Sarina State School,Sarina,4737
Wulguru State School,Wulguru,4811
Mackay SHS - Special Education Program,South Mackay,4740
Yeppoon SHS - Special Education Program,Yeppoon,4703
Milton State School,Milton,4064
Gogango State School,Gogango,4702
Yarrabah SS - Special Education Program,Yarrabah,4871
Loganlea SHS - Special Education Program,Loganlea,4131
Oonoonba State School,Idalia,4811
Gympie West State School,Gympie,4570
Canungra State School,Canungra,4275
Childers State School,Childers,4660
Beerwah State School,Beerwah,4519
Brassall State School,Brassall,4305
Avondale State School,Avondale,4670
Glenmore State School,Kawana,4701
Ipswich East State School,East Ipswich,4305
Richmond State School,Richmond,4822
Tin Can Bay State School,Tin Can Bay,4580
Theebine State School,Theebine,4570
Eidsvold State School,Eidsvold,4627
Roadvale State School,Roadvale,4310
Laura State School,Laura,4892
Watson Road State School,Acacia Ridge,4110
Indooroopilly State School,Indooroopilly,4068
Whitsunday Christian College,Cannonvale,4802
Cannonvale State School,Cannonvale,4802
Serviceton South State School,Inala,4077
Abercorn State School,Abercorn,4627
Palmwoods State School,Palmwoods,4555
Eatons Hill State School,Eatons Hill,4037
Coomera Anglican College,Coomera,4209
Boulia State School,Boulia,4829
St Mary MacKillop Primary School (Birkdale),Birkdale,4159
Sheldon College,Sheldon,4157
Airville State School,Airville,4807
Sunshine Coast Grammar School,Forest Glen,4556
Burpengary State School,Burpengary,4505
Cooran State School,Cooran,4569
Winfield State School,Winfield,4670
Jimboomba State School,Jimboomba,4280
Kallangur State School,Kallangur,4503
Clarke Creek State School,Clarke Creek,4705
Mackenzie State Primary School,Mackenzie,4156
Aspley State School,Aspley,4034
Bluewater State School,Bluewater,4818
Ropeley State School,Ropeley,4343
Greenslopes State School,Greenslopes,4120
Woodstock State School,Woodstock,4816
Kippa-Ring State School,Kippa-Ring,4021
Woorabinda State School,Woorabinda,4713
Oakwood State School,Oakwood,4670
Harrisville State School,Harrisville,4307
Sunbury State School,Maryborough,4650
Victoria Plantation State School,Victoria Plantation,4850
Tolga State School,Tolga,4882
Wishart State School,Wishart,4122
Bundaberg South State School,Bundaberg South,4670
Coolabunia State School,Coolabunia,4610
Parramatta State School,Parramatta Park,4870
Maroon State School,Maroon,4310
Woodridge North State School,Woodridge,4114
Jones Hill State School,Jones Hill,4570
Mareeba State School,Mareeba,4880
Mirani State School,Mirani,4754
Mount Gravatt East State School,Mount Gravatt East,4122
Ingleside State School,Tallebudgera Valley,4228
Mudgeeraba State School,Mudgeeraba,4213
Biggenden State School,Biggenden,4621
Widgee State School,Widgee,4570
Keppel Sands State School,Keppel Sands,4702
Dalby South State School,Dalby,4405
Peachester State School,Peachester,4519
Theodore State School,Theodore,4719
Chelona State School,Chelona,4740
Kilcoy State School,Kilcoy,4515
Beechmont State School,Beechmont,4211
Eudlo State School,Eudlo,4554
Delaneys Creek State School,Delaneys Creek,4514
Clifton State School,Clifton,4361
Mount Mee State School,Mount Mee,4521
Somerset Hills State School,Stafford Heights,4053
Greenbank State School,Greenbank,4124
Forest Hill State School,Forest Hill,4342
Eumundi State School,Eumundi,4562
Moffatdale State School,Moffatdale,4605
Bargara State School,Mon Repos,4670
Woodridge State School,Logan Central,4114
Marshall Road State School,Holland Park West,4121
Gindie State School,Gindie,4702
Kentville State School,Kentville,4341
Longreach State School,Longreach,4730
Ilfracombe State School,Ilfracombe,4727
Camooweal State School,Camooweal,4828
Redbank State School,Redbank,4301
Pomona State School,Pomona,4568
Richlands East State School,Inala,4077
Mundoo State School,Wangan,4871
Eagle Junction State School,Clayfield,4011
North Eton State School,North Eton,4741
Richmond Hill State School,Richmond Hill,4820
Cecil Plains State School,Cecil Plains,4407
Faith Baptist Christian School (Gladstone),Burua,4680
Mount Nebo State School,Mount Nebo,4520
Silkwood School,Mount Nathan,4211
Blackbutt State School,Blackbutt,4306
Gladstone West State School,West Gladstone,4680
Glenvale Christian School (Toowoomba),Glenvale,4350
Mackay North State School,North Mackay,4740
Givelda State School,Givelda,4670
Kindon State School,Kindon,4390
Yorkeys Knob State School,Yorkeys Knob,4878
Machans Beach State School,Machans Beach,4878
Rosedale State School,Rosedale,4674
Walkamin State School,Walkamin,4872
Crescent Lagoon State School,West Rockhampton,4700
Glennie Heights State School,Warwick,4370
Millaa Millaa State School,Millaa Millaa,4886
Bracken Ridge State School,Bracken Ridge,4017
Alligator Creek State School,Alligator Creek,4740
Currumbin Valley State School,Currumbin Valley,4223
Montville State School,Montville,4560
Barkly Highway State School,Soldiers Hill,4825
Proserpine State School,Proserpine,4800
Bell State School,Bell,4408
Dunwich State School,Dunwich,4183
Numinbah Valley State School,Numinbah Valley,4211
Kilcummin State School,Kilcummin,4721
Atherton State School,Atherton,4883
Gordonvale State School,Gordonvale,4865
Miriam Vale State School,Miriam Vale,4677
Jarvisfield State School,Jarvisfield,4807
Aitkenvale State School,Aitkenvale,4814
Wyandra State School,Wyandra,4489
Thulimbah State School,Thulimbah,4376
Merinda State School,Bowen,4805
Goondi State School,Goondi Bend,4860
Feluga State School,Feluga,4854
Arcadia Valley State School,Arcadia Valley,4454
Bowenville State School,Bowenville,4404
Gundiah State School,Gundiah,4650
Gladstone South State School,South Gladstone,4680
Pallara State School,Pallara,4110
Depot Hill State School,Depot Hill,4700
Happy Valley State School,Happy Valley,4825
Vale View State School,Vale View,4352
Flying Fish Point State School,Flying Fish Point,4860
Bunker's Hill State School,Westbrook,4350
Wellcamp State School,Wellcamp,4350
Caloundra State School,Caloundra,4551
Tingoora State School,Tingoora,4608
Chillagoe State School,Chillagoe,4871
Millaroo State School,Millaroo,4807
Kennedy State School,Kennedy,4816
Veresdale Scrub State School,Veresdale Scrub,4285
Aloomba State School,Aloomba,4871
Murgon State School,Murgon,4605
Hermit Park State School,Hyde Park,4812
East Brisbane State School,East Brisbane,4169
Mapleton State School,Mapleton,4560
Ubobo State School,Boyne Valley,4680
Wolvi State School,Wolvi,4570
Lota State School,Lota,4179
Drillham State School,Drillham,4424
Dagun State School,Dagun,4570
Buranda State School,Woolloongabba,4102
Moranbah State School,Moranbah,4744
Bororen State School,Bororen,4678
Harlin State School,Harlin,4306
Bajool State School,Bajool,4699
East Ayr State School,Ayr,4807
Jundah State School,Jundah,4736
Tamborine Mountain State School,Tamborine Mountain,4272
Chatsworth State School,Chatsworth,4570
Glenmorgan State School,Glenmorgan,4423
Wowan State School,Wowan,4702
Parkhurst State School,Parkhurst,4702
Kenmore State School,Kenmore,4069
Greenlands State School,Greenlands,4380
Norman Park State School,Norman Park,4170
Caravonica State School,Caravonica,4878
Moura State School,Moura,4718
Stonehenge State School,Stonehenge,4730
Dunkeld State School,Dunkeld,4465
Goodwood State School,Goodwood,4660
Frenchville State School,Frenchville,4701
New Farm State School,New Farm,4005
Mount Garnet State School,Mount Garnet,4872
Torquay State School,Torquay,4655
Wooroolin State School,Wooroolin,4608
Vincent State School,Vincent,4814
Dallarnil State School,Dallarnil,4621
Bli Bli State School,Bli Bli,4560
Elimbah State School,Elimbah,4516
Hebel State School,Hebel,4486
Mourilyan State School,Mourilyan,4858
Quinalow Prep-10 State School,Quinalow,4403
Durack State School,Durack,4077
Bullyard State School,Bullyard,4671
Sunset State School,Sunset,4825
Bauple State School,Bauple,4650
Yarraman State School,Yarraman,4614
Runcorn State School,Sunnybank,4109
Raceview State School,Raceview,4305
Greenmount State School,Greenmount,4359
Harlaxton State School,Harlaxton,4350
Linville State School,Linville,4306
Bloomsbury State School,Bloomsbury,4799
Park Avenue State School,Park Avenue,4701
Cherbourg State School,Cherbourg,4605
Mutchilba State School,Mutchilba,4872
Kingaroy State School,Kingaroy,4610
Biboohra State School,Biboohra,4880
Dirranbandi P-10 State School,Dirranbandi,4486
Yungaburra State School,Yungaburra,4884
Aspley East State School,Aspley,4034
Gleneagle State School,Gleneagle,4285
Severnlea State School,Severnlea,4380
Tully State School,Tully,4854
Lake Clarendon State School,Lake Clarendon,4343
Lower Tully State School,Lower Tully,4854
Stafford Heights State School,Stafford Heights,4053
The Caves State School,The Caves,4702
Bedourie State School,Bedourie,4829
Daintree State School,Daintree,4873
Corinda State School,Corinda,4075
Seven Hills State School,Seven Hills,4170
Farnborough State School,Farnborough,4703
Murray River Upper State School,Murray Upper,4854
Brooweena State School,Brooweena,4620
Mount Tyson State School,Mount Tyson,4356
Bardon State School,Bardon,4065
Carole Park State School,Wacol,4076
Bymount East State School,Bymount,4455
Grantham State School,Grantham,4347
Grosmont State School,Grosmont,4419
Hayman Island State School,Whitsundays,4802
Lockrose State School,Lockrose,4342
Wondai State School,Wondai,4606
Branyan Road State School,Branyan,4670
Mount Isa Central State School,Mount Isa,4825
Toogoolawah State School,Toogoolawah,4313
Broadwater State School,Broadwater,4380
Kogan State School,Kogan,4406
Cooyar State School,Cooyar,4402
Glenore Grove State School,Glenore Grove,4342
Mayfield State School,Carina,4152
Taabinga State School,Kingaroy,4610
Yarwun State School,Yarwun,4694
Mount Molloy State School,Mount Molloy,4871
Mount Tarampa State School,Mount Tarampa,4311
Taigum State School,Taigum,4018
Inala State School,Inala,4077
Trebonne State School,Trebonne,4850
Lochington State School,Lochington,4722
Milman State School,Milman,4702
Marmor State School,Marmor,4702
Builyan State School,Boyne Valley,4680
Burra Burri State School,Burra Burri,4413
Hamilton State School,Hamilton,4007
Seville Road State School,Holland Park,4121
Brigalow State School,Brigalow,4412
Grovely State School,Keperra,4054
Lowmead State School,Lowmead,4676
Pinnacle State School,Pinnacle,4741
Kenmore South State School,Kenmore,4069
Karara State School,Karara,4352
Wheatvale State School,Wheatvale,4370
Leichhardt State School,Leichhardt,4305
Wavell Heights State School,Wavell Heights,4012
Warwick West State School,Warwick,4370
Proston State School,Proston,4613
Wartburg State School,Baffle Creek,4674
Ballandean State School,Ballandean,4382
Cooroy State School,Cooroy,4563
Mount Kilcoy State School,Mount Kilcoy,4515
Currumbin State School,Currumbin,4223
Dulacca State School,Dulacca,4425
Farleigh State School,Farleigh,4741
Bloomfield River State School,Bloomfield,4895
Rangeville State School,Rangeville,4350
Finch Hatton State School,Finch Hatton,4756
Murray's Bridge State School,Murrays Bridge,4370
Eromanga State School,Eromanga,4480
Everton Park State School,Everton Park,4053
Kaimkillenbun State School,Kaimkillenbun,4406
Mount Marrow State School,Mount Marrow,4306
Boyne Island State School,Boyne Island,4680
Wallaville State School,Wallaville,4671
Queens Beach State School,Bowen,4805
The Hall State School,Wandal,4700
Narangba State School,Narangba,4504
Townview State School,Townview,4825
Federal State School,Federal,4568
Maidavale State School,Airville,4807
Magnetic Island State School,Nelly Bay,4819
Gympie South State School,Southside,4570
Manly State School,Manly,4179
Coalstoun Lakes State School,Coalstoun Lakes,4621
Dimbulah State School,Dimbulah,4872
Newtown State School,Newtown,4350
Warrill View State School,Warrill View,4307
Oakenden State School,Oakenden,4741
Thornlands State School,Thornlands,4164
Southbrook Central State School,Southbrook,4363
Glass House Mountains State School,Glass House Mountains,4518
Northern Peninsula Area State College,Bamaga,4876
Westmar State School,Westmar,4422
Strathpine State School,Strathpine,4500
Coopers Plains State School,Coopers Plains,4108
Maroondan State School,Maroondan,4671
Tamrookum State School,Tamrookum,4285
Cloyna State School,Cloyna,4605
Geebung State School,Geebung,4034
Giru State School,Giru,4809
Aratula State School,Aratula,4309
Orion State School,Orion,4722
Kingsthorpe State School,Kingsthorpe,4400
Abergowrie State School,Abergowrie,4850
Thallon State School,Thallon,4497
Kairi State School,Kairi,4872
Julia Creek State School,Julia Creek,4823
Miallo State School,Miallo,4873
Harristown State School,Harristown,4350
Applethorpe State School,Applethorpe,4378
Surfers Paradise State School,Surfers Paradise,4217
Wandoan State School P-10,Wandoan,4419
Bohlevale State School,Burdell,4818
The Gap State School,The Gap,4061
Yarrabah State School,Yarrabah,4871
Kenilworth State Community College,Kenilworth,4574
Goomeri State School,Goomeri,4601
Ravenshoe State School,Ravenshoe,4888
Mutarnee State School,Mutarnee,4816
Byfield State School,Byfield,4703
Mission Beach State School,Wongaling Beach,4852
Rollingstone State School,Rollingstone,4816
Haden State School,Haden,4353
Rathdowney State School,Rathdowney,4287
Redlynch State College,Redlynch,4870
Yelarbon State School,Yelarbon,4388
Elliott Heads State School,Elliott Heads,4670
Kingston State School,Kingston,4114
Conondale State School,Conondale,4552
Eungella State School,Eungella,4757
Tara Shire State College,Tara,4421
Coominya State School,Coominya,4311
The Gums State School,The Gums,4406
Woolooga State School,Woolooga,4570
Home Hill State School,Home Hill,4806
Broadbeach State School,Broadbeach,4218
Mirriwinni State School,Mirriwinni,4871
Maryvale State School,Maryvale,4370
